Config Name,Win Rate %,Profit Factor,Max Drawdown %,Total PnL,Total Trades,Score
ADX_min=15,51.6,2.54,4.7,"$13,086.05",1684,0.7401
ADX_min=12,50.7,2.46,4.8,"$12,926.59",1775,0.7304
TP=50_SL=25,50.7,2.46,4.8,"$12,934.41",1775,0.7304
ADX_min=8,50.7,2.45,4.8,"$12,919.15",1776,0.7292
ADX_min=10,50.7,2.45,4.8,"$12,913.41",1776,0.7292
TP=40_SL=20,50.7,2.45,4.8,"$12,902.89",1776,0.7292
TP=50_SL=20,50.7,2.45,4.8,"$12,910.53",1776,0.7292
TP=30_SL=20,50.7,2.45,4.8,"$12,910.96",1775,0.7291
ADX_min=6,50.7,2.45,4.9,"$12,920.21",1776,0.7284
